"id","iddoc","mois_installation","an_installation","nb_panneaux","panneaux_marque","panneaux_modele","nb_onduleur","onduleur_marque","onduleur_modele","puissance_crete","surface","pente","pente_optimum","orientation","orientation_optimum","installateur","production_pvgis","lat","lon","country","postal_code","postal_code_suffix","postal_town","locality","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","political"
"11","27","06","2007","8","KIOTO","KPV ME 250","8","Enphase Energy","M215-60-230-S22","2000","13","25","37","15","0","Vivreco+PlacementSolaire","2053","48.66","6.26","France","54510",,,"Art-sur-Meurthe","Grand Est","Meurthe-et-Moselle",,,
"12","29","12","2006","20","Solar-Fabrik","SF 115","1","CONERGY","WR 2300","2300","25","30","36","30","9","PIE ENERGIES","2680","45.22","5.68","France","38120",,,"Saint-Egrève","Auvergne-Rhône-Alpes","Isère",,,
"13","31","04","2008","10","Schuco","S 320-PM-2","1","SMA","Sunny Boy 3000","3200","23","25","38","-25","-3","SYS ENR","3376","48.64","2.24","France","91460",,,"Marcoussis","ÃŽle-de-France","Essonne",,,
"14","32","04","2005","14","Tenesol","TE 2000/200 Mono","1","Tenesol","Energrid EG 2500","2800","21","25","37","25","1","ESE","3431","43.61","1.32","France","31770",,,"Colomiers","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Haute-Garonne",,,
"16","40","05","2007","24","SHARP","NE-Q7E3E","1","Fronius","IG 40 4100W","4008","28","15","38","10","-3","DELANNOY Robin","5421","43.97","4.68","France","30650",,,"Rochefort-du-Gard","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Gard",,,
"18","43","08","2007","24","Kyocera","KC 130 GHT-2","1","Fronius","IG 30","3120","22","20","39","-20","0","http://www.marseille-energierenouvelable","4458","43.94","5.01","France","84740",,,"Velleron","Provence-Alpes-CÃ´te d'Azur","Vaucluse",,,
"19","14520","07","2010","45","Imerys","Solardachziegel (60 Wc)","1","SMA","Sunny Boy 2500","2700","25","25","36","-10","1","A l Eau Solaire","3169","45.67","5.14","France","38290",,,"Satolas-et-Bonce","Auvergne-RhÃ´ne-Alpes","IsÃ¨re",,,
"20","464","02","2008","18","SHARP","ND-162 E1F","1","Fronius","IG 30","2916","24","20","38","25","1","TRAMONTANA","3891","43.28","2.9","France","11120",,,"Mirepeisset","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Aude",,,
"21","50","11","2008","16","TRINA SOLAR","TSM-175D","1","KACO","Powador 2500 xi","2800","21","20","36","Sud","1","R. LEPARGNEUR","3269","45.64","5","France","69780",,,"Saint-Pierre-de-Chandieu","Auvergne-RhÃ´ne-Alpes","RhÃ´ne",,,
"22","52","11","2007","12","SOLVIS","picotop PT802","1","SMA","Sunny Boy 2100TL","1920","15","30","36","Sud","-2","Lajambe Fran&ccedil;ois","2158","46.83","4.35","France","71710",,,"Marmagne","Bourgogne Franche-ComtÃ©","SaÃ´ne-et-Loire",,,
"23","53","10","2007","21","Kyocera","KC 130 GHT-2","1","Fronius","IG 30","2730","19","15","36","30","1","Panosol","3200","43.9","1.44","France","82370",,,"Villebrumier","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Tarn-et-Garonne",,,
"24","54","05","2008","14","Tenesol","TE 2000/200 Mono","1","Tenesol","Energrid EG 2500","2800","21","40","36","65","-1","Evasol","2793","46.79","4.85","France","71100",,,"Chalon-sur-SaÃ´ne","Bourgogne Franche-ComtÃ©","SaÃ´ne-et-Loire",,,
"25","937","10","2008","25","Photowatt","PW6-123 / 120W","1","Photowatt","PWI-6-40-I","3000","25","25","35","-70","1","R.LEPARGNEUR","2944","45.42","4.32","France","42230",,,"Roche-la-MoliÃ¨re","Auvergne-RhÃ´ne-Alpes","Loire",,,
"26","70","01","2008","24","Kyocera","KC 130 GHT-2","1","Fronius","IG 30","3120","21","20","38","-45","1","TRI ENERGIE","3433","47.08","-1.51","France","44140",,,"Le Bignon","Pays de la Loire","Loire-Atlantique",,,
"27","71","04","2000","12","Photowatt","PW 500 / 45W","1","SMA","Sunny Boy 700 Hi","540","6","60","34","-20","-21","AUTO INSTALLATION","558","45.25","5.59","France","38360",,,"Noyarey","Auvergne-RhÃ´ne-Alpes","IsÃ¨re",,,
"28","73","03","2011","14","Kyocera","KD 210GH-2P","1","SMA","Sunny Boy 3000TL","2940","21","40","36","50","-2","Non renseign&amp;amp;eacute;","2720","49.03","7.28","France","57410",,,"Rohrbach-lès-Bitche","Grand Est","Moselle",,,
"30","86","01","2008","12","Schuco","S 310-PM-1","2","SMA","Sunny Boy 2100TL","3720","32","15","37","25","-5","BSP","4587","44.02","3.67","France","30570",,,"Saint-AndrÃ©-de-Majencoules","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Gard",,,
"31","764","10","2008","15","DAXTEC","MSTD200","1","Mastervolt","SunMaster QS 3500 Ma","3000","24","30","37","Sud","3","Plein Sud","3629","44.78","-0.46","France","33360",,,"Cenac","Aquitaine-Limousin-Poitou-Charentes","Gironde",,,
"32","89","10","2006","30","Kyocera","KC 120","2","SMA","Sunny Boy 1700","3600","30","20","38","05","-1","Mahe a Madiere en Ariege","4427","43.14","1.71","France","09700",,,"La Bastide-de-Lordat","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","AriÃ¨ge",,,
"33","92","02","2008","14","Istar Solar","IS3000P - 140wp","1","Solax","Mini X1-100","1960","14","45","36","25","0","Alp Solaire plus","2264","45.67","5.89","France","73100",,,"Tresserve","Auvergne-Rhône-Alpes","Savoie",,,
"34","95","07","2007","12","SHARP","NT-R5E3E","1","SMA","Sunny Boy 2100TL","2100","16","25","37","10","1","123 Solaire","2492","45.73","4.96","France","69680",,,"Chassieu","Auvergne-RhÃ´ne-Alpes","RhÃ´ne",,,
"36","727","10","2008","16","SHARP","ND-170 E1 F (170 Wc)","1","Fronius","IG 30","2720","21","35","38","-35","-1","Durand","3022","47.41","-1.2","France","44522",,,"MÃ©sanger","Pays de la Loire","Loire-Atlantique",,,
"37","106","09","2008","12","SUNTECH","STP 175-24/Ac","1","SMA","Sunny Boy 2100TL","2100","15","30","36","15","-5","Energies Economies Solutions","2220","46.08","6.53","France","74300",,,"Thyez","Auvergne-RhÃ´ne-Alpes","Haute-Savoie",,,
"38","115","11","2008","8","Schuco","S 320-PM-2","1","Sputnik","SOLARMAX 3000S","2560","22","5","36","15","1","Bati 82","2832","44.08","1.37","France","82130",,,"Lamothe-Capdeville","Occitanie","Tarn-et-Garonne",,,
"39","227","09","2008","14","DAXTEC","SONY 190 WP","1","Mastervolt","SunMaster QS 3500 Ma","2660","21","35","37","-10","2","Plein Sud","3266","44.82","-0.61","France","33700",,,"MÃ©rignac","Aquitaine-Limousin-Poitou-Charentes","Gironde",,,
"40","116","12","2007","15","TRINA SOLAR","TSM-170D","1","KACO","Powador 2500 xi","2550","19","20","38","20","-3","SUNNCO","3414","43.67","3.71","France","34570",,,"VailhauquÃ¨s","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","HÃ©rault",,,
"41","652","06","2008","16","Solarfun","SF 175 M5-24 (175 wc)","1","SMA","Sunny Boy 2500","2800","21","15","36","-5","-16","EDEV-EnR / Photonpow","3140","45.21","5.65","France","38360",,,"Sassenage","Auvergne-RhÃ´ne-Alpes","IsÃ¨re",,,
"42","133","08","2007","18","SHARP","ND-Q2E3E","1","CONERGY","WR 3300","2916","24","20","38","Sud","-7","Rolhion Energie","3263","45.82","3.07","France","63112",,,"Blanzat","Auvergne-RhÃ´ne-Alpes","Puy-de-DÃ´me",,,
